ASSET_ID,TAKEN_ON,BEARING_CONDITION,SIMPLE_MISALIGNMENT,SKIN_TEMPERATURE,SPEED,OUTPUT_POWER,VIBRATION_AXIAL,VIBRATION_RADIAL,VIBRATION_TANGENTIAL
3743,11/11/2018 4:34:10 PM,0.0000,,24.3432,1498.6284,13.1343,0.5365,0.4598,0.3449
3743,11/21/2018 11:35:09 AM,0.0000,,18.3264,1493.8247,137.9104,0.0000,0.0000,0.0383
3743,11/11/2018 12:01:50 AM,,,,,,,,
3743,11/8/2018 2:33:49 AM,0.0000,0.0000,28.4402,1491.6656,183.8806,0.0000,0.0383,0.0000
3743,11/23/2018 8:03:29 AM,,,,,,,,
3743,11/20/2018 8:35:05 PM,0.0000,,18.4337,1489.1858,252.8358,0.0000,0.0383,0.0383
3743,11/11/2018 12:34:06 AM,1.0000,1.0000,23.5281,1499.0459,16.4179,0.5365,0.4215,0.3066
3743,11/16/2018 5:01:32 AM,,,,,,,,
3743,11/18/2018 3:34:49 AM,0.0000,,19.4633,1492.6940,164.1791,0.0000,0.0383,0.0383
3743,11/7/2018 9:33:48 PM,0.0000,,33.2236,0.0000,0.0000,0.0383,0.0383,0.0000
3743,11/11/2018 5:34:08 AM,1.0000,1.0000,23.1742,1494.0817,141.1940,0.4982,0.4215,0.3066
3743,11/20/2018 6:35:01 AM,0.0000,,18.3908,1493.3456,154.3284,0.0000,0.0000,0.0383
3743,11/11/2018 3:34:07 AM,0.0000,1.0000,23.3887,1499.0560,9.8507,0.4982,0.4215,0.4215
3743,11/19/2018 7:01:56 PM,,,,,,,,
3743,11/19/2018 4:34:55 AM,0.0000,,18.3264,0.0000,0.0000,0.0000,0.0383,0.0383
3743,11/10/2018 3:34:01 AM,0.0000,,23.4745,1500.1931,6.5672,0.5365,0.4598,0.3832
3743,11/18/2018 3:01:38 PM,,,,,,,,
3743,11/7/2018 10:02:37 AM,,,,,,,,
3743,11/18/2018 1:01:34 PM,,,,,,,,
3743,11/21/2018 5:35:07 AM,1.0000,,18.3157,1492.7599,151.0448,0.0000,0.0383,0.0383
3743,11/8/2018 10:33:54 PM,0.0000,,24.6650,1500.4721,6.5672,0.8047,0.3449,0.4598
3743,11/21/2018 12:35:06 AM,0.0000,,18.5624,1494.7595,131.3433,0.0000,0.0383,0.0383
3743,11/16/2018 1:34:36 AM,0.0000,0.0000,35.1005,1493.6559,151.0448,0.0000,0.0383,0.0000
3743,11/17/2018 10:34:48 PM,0.0000,,19.9888,1492.7515,137.9104,0.0000,0.0383,0.0383
3743,11/11/2018 2:34:10 PM,0.0000,,24.4290,1499.5768,22.9851,0.4598,0.3832,0.4598
3743,11/12/2018 3:34:13 AM,0.0000,1.0000,23.4101,1500.4122,16.4179,0.4982,0.3449,0.4598
3743,11/21/2018 12:35:06 AM,0.0000,,18.5624,1494.7595,131.3433,0.0000,0.0383,0.0383
3743,11/7/2018 10:02:51 PM,,,,,,,,
3743,11/14/2018 8:34:29 PM,1.0000,,24.6971,1500.3060,6.5672,0.4982,0.4215,0.3832
3743,11/19/2018 10:34:59 PM,0.0000,,18.7554,1492.5637,177.3134,0.0000,0.0383,0.0000
3743,11/9/2018 8:33:57 AM,1.0000,,23.4316,1499.4620,3.2836,0.4982,0.3449,0.3832
3743,11/22/2018 2:35:12 AM,0.0000,,18.4873,1492.2947,167.4627,0.0000,0.0383,0.0383
3743,11/18/2018 7:02:04 AM,,,,,,,,
3743,11/17/2018 3:01:34 AM,,,,,,,,
3743,11/21/2018 11:01:33 AM,,,,,,,,
3743,11/24/2018 6:01:32 AM,,,,,,,,
3743,11/7/2018 9:33:48 PM,0.0000,,33.2236,0.0000,0.0000,0.0383,0.0383,0.0000
3743,11/15/2018 3:34:34 PM,0.0000,1.0000,24.6864,1499.0417,32.8358,0.5748,0.4982,0.3449
3743,11/19/2018 10:01:35 PM,,,,,,,,
3743,11/8/2018 10:02:35 PM,,,,,,,,
3743,11/20/2018 11:35:03 AM,0.0000,,18.5195,1493.2127,164.1791,0.0000,0.0383,0.0383
3743,11/16/2018 8:34:38 AM,0.0000,0.0000,26.9387,1492.0409,174.0299,0.0000,0.0000,0.0383
3743,11/15/2018 10:34:33 AM,1.0000,,24.4933,1499.9547,26.2687,0.5748,0.4215,0.4982
3743,11/23/2018 11:34:25 PM,0.0000,1.0000,23.2385,1492.2533,174.0299,0.7281,0.3449,0.4215
3743,11/22/2018 3:34:17 PM,1.0000,,21.5976,1498.7787,19.7015,0.4982,0.3449,0.4215
3743,11/13/2018 7:02:03 PM,,,,,,,,
3743,11/15/2018 8:34:35 PM,1.0000,,24.8795,1493.4480,144.4776,0.5365,0.4215,0.3449
3743,11/7/2018 4:33:44 AM,0.0000,,23.1313,1499.3960,19.7015,0.4982,0.4215,0.3832
3743,11/19/2018 10:34:56 AM,1.0000,,18.2621,1490.9248,216.7164,0.0000,0.0383,0.0383
3743,11/8/2018 12:33:49 AM,1.0000,,31.2823,1495.1372,105.0746,0.0383,0.0383,0.0000
3743,11/23/2018 10:34:22 AM,1.0000,1.0000,21.6941,1500.0729,9.8507,0.5365,0.3449,0.4598
3743,11/7/2018 11:33:45 AM,0.0000,1.0000,23.4208,1499.7334,6.5672,0.4982,0.3449,0.4215
3743,11/8/2018 2:02:03 AM,,,,,,,,
3743,11/23/2018 3:34:23 PM,0.0000,1.0000,23.2921,1498.3993,22.9851,0.6131,0.3832,0.5748
3743,11/6/2018 8:33:42 PM,1.0000,,24.3110,1499.8565,13.1343,0.6514,0.4215,0.4598
3743,11/21/2018 12:35:06 AM,0.0000,,18.5624,1494.7595,131.3433,0.0000,0.0383,0.0383
3743,11/6/2018 3:33:38 AM,0.0000,,22.3591,1490.8783,197.0149,0.0383,0.0383,0.0383
3743,11/18/2018 1:34:51 PM,1.0000,,18.8519,1491.9696,157.6119,0.0000,0.0383,0.0383
3743,11/7/2018 8:33:45 AM,0.0000,,23.3887,1499.0982,6.5672,0.5365,0.4215,0.3832
3743,11/16/2018 6:34:38 AM,0.0000,,28.5153,1492.6346,160.8955,0.0000,0.0383,0.0383
3743,11/14/2018 6:01:33 PM,,,,,,,,
3743,11/16/2018 3:34:37 AM,0.0000,,31.9044,1493.8990,154.3284,0.0383,0.0383,0.0000
3743,11/12/2018 6:01:37 PM,,,,,,,,
3743,11/23/2018 8:03:29 AM,,,,,,,,
3743,11/24/2018 1:34:25 AM,1.0000,1.0000,22.8953,1492.0046,183.8806,0.8430,0.4598,0.3832
3743,11/21/2018 12:01:32 PM,,,,,,,,
3743,11/16/2018 6:34:38 AM,0.0000,,28.5153,1492.6346,160.8955,0.0000,0.0383,0.0383
3743,11/19/2018 10:02:19 AM,,,,,,,,
3743,11/13/2018 11:01:39 PM,,,,,,,,
3743,11/18/2018 5:34:49 AM,1.0000,0.0000,19.2702,1493.4679,160.8955,0.0000,0.0383,0.0383
3743,11/22/2018 8:34:18 PM,0.0000,1.0000,22.3698,1492.6756,170.7463,0.5365,0.3832,0.4598
3743,11/9/2018 2:01:29 PM,,,,,,,,
3743,11/8/2018 7:01:39 AM,,,,,,,,
3743,11/6/2018 2:01:33 PM,,,,,,,,
3743,11/22/2018 1:34:16 PM,1.0000,,19.8601,1500.3987,9.8507,0.4982,0.3449,0.3449
3743,11/10/2018 1:34:04 PM,1.0000,,23.7533,1500.0152,6.5672,0.5365,0.4598,0.3066
3743,11/16/2018 6:34:38 AM,0.0000,,28.5153,1492.6346,160.8955,0.0000,0.0383,0.0383
3743,11/15/2018 8:02:20 AM,,,,,,,,
3743,11/10/2018 10:34:06 PM,1.0000,1.0000,24.0536,1492.6852,144.4776,0.4982,0.3832,0.4215
3743,11/12/2018 9:34:15 AM,0.0000,1.0000,23.3887,1491.5738,177.3134,0.4598,0.3449,0.4215
3743,11/13/2018 5:34:23 PM,1.0000,,24.2145,1492.7853,164.1791,0.6131,0.3832,0.4598
3743,11/6/2018 1:01:27 AM,,,,,,,,
3743,11/8/2018 2:33:49 AM,0.0000,0.0000,28.4402,1491.6656,183.8806,0.0000,0.0383,0.0000
3743,11/16/2018 5:01:39 PM,,,,,,,,
3743,11/17/2018 7:34:47 PM,0.0000,0.0000,19.9781,1492.7886,167.4627,0.0000,0.0383,0.0383
3743,11/12/2018 6:01:37 PM,,,,,,,,
3743,11/11/2018 5:34:11 PM,1.0000,,24.4504,1498.7933,9.8507,0.4982,0.3449,0.3449
3743,11/6/2018 3:33:40 PM,1.0000,,23.9571,1493.7743,147.7612,0.6514,0.4215,0.4598
3743,11/8/2018 4:33:50 AM,0.0000,,26.5526,1493.7317,128.0597,0.0000,0.0383,0.0383
3743,11/13/2018 6:34:20 AM,0.0000,,28.8048,1492.2114,164.1791,0.0383,0.0383,0.0383
3743,11/6/2018 10:33:42 PM,1.0000,,24.4290,1498.5860,19.7015,0.5365,0.4215,0.4215
3743,11/24/2018 2:02:04 AM,,,,,,,,
3743,11/19/2018 6:01:29 PM,,,,,,,,
3743,11/9/2018 2:01:29 PM,,,,,,,,
3743,11/7/2018 10:33:48 PM,0.0000,0.0000,35.5295,0.0000,0.0000,0.0000,0.0383,0.0000
3743,11/15/2018 6:01:22 AM,,,,,,,,
3743,11/20/2018 12:35:00 AM,0.0000,,18.7018,1491.5289,183.8806,0.0000,0.0383,0.0383
3743,11/18/2018 3:01:38 PM,,,,,,,,
3743,11/17/2018 4:34:46 PM,0.0000,,20.1604,1492.2244,193.7313,0.0000,0.0383,0.0383
3743,11/12/2018 10:34:15 AM,1.0000,,23.6032,1500.6187,6.5672,0.5748,0.3449,0.4215
3743,11/12/2018 12:01:27 PM,,,,,,,,
3743,11/18/2018 7:02:04 AM,,,,,,,,
3743,11/20/2018 7:02:39 PM,,,,,,,,
3743,11/15/2018 4:34:34 PM,1.0000,,24.7079,1499.6409,16.4179,0.4982,0.3832,0.4598
3743,11/18/2018 9:34:50 AM,0.0000,0.0000,18.9163,1492.2234,183.8806,0.0000,0.0000,0.0383
3743,11/18/2018 9:34:50 AM,0.0000,0.0000,18.9163,1492.2234,183.8806,0.0000,0.0000,0.0383
3743,11/11/2018 6:34:08 AM,1.0000,,23.1956,1500.6604,6.5672,0.4215,0.3449,0.3066
3743,11/14/2018 9:34:27 AM,1.0000,,24.0536,1490.8589,193.7313,0.7281,0.3832,0.4598
3743,11/8/2018 11:33:54 PM,0.0000,,24.3861,1499.3012,22.9851,0.6514,0.3832,0.4598
3743,11/21/2018 9:02:19 AM,,,,,,,,
3743,11/11/2018 3:34:10 PM,1.0000,,24.3432,1499.2667,6.5672,0.5365,0.3832,0.4598
3743,11/11/2018 11:34:09 AM,0.0000,1.0000,24.1930,1493.2648,170.7463,0.5748,0.4215,0.3066
3743,11/7/2018 5:33:47 PM,0.0000,,23.1313,1494.5891,141.1940,0.4982,0.3832,0.3066
3743,11/9/2018 7:33:59 PM,1.0000,,23.9678,1494.1739,144.4776,0.4982,0.4215,0.3449
3743,11/7/2018 7:33:44 AM,1.0000,,23.3565,1492.8424,144.4776,0.4982,0.3449,0.4215
3743,11/19/2018 6:34:55 AM,0.0000,,18.1548,1493.2395,160.8955,0.0000,0.0383,0.0383
3743,11/21/2018 1:01:32 AM,,,,,,,,
3743,11/19/2018 4:02:06 AM,,,,,,,,
3743,11/22/2018 1:34:16 PM,1.0000,,19.8601,1500.3987,9.8507,0.4982,0.3449,0.3449
3743,11/11/2018 10:01:24 AM,,,,,,,,
3743,11/8/2018 1:33:49 AM,1.0000,,29.8559,1494.4423,131.3433,0.0383,0.0383,0.0000
3743,11/13/2018 1:01:37 PM,,,,,,,,
3743,11/18/2018 4:34:49 AM,0.0000,0.0000,19.2595,1493.3928,137.9104,0.0000,0.0000,0.0383
3743,11/8/2018 4:33:53 PM,0.0000,,24.9116,1498.4492,16.4179,0.5748,0.4598,0.4598
3743,11/17/2018 11:34:48 PM,1.0000,,19.9352,1492.4171,167.4627,0.0000,0.0383,0.0383
3743,11/7/2018 11:01:57 PM,,,,,,,,
3743,11/21/2018 12:35:09 PM,0.0000,,18.3371,1494.4441,141.1940,0.0000,0.0383,0.0383
3743,11/21/2018 5:03:34 PM,,,,,,,,
3743,11/8/2018 1:02:46 PM,,,,,,,,
3743,11/8/2018 2:02:03 AM,,,,,,,,
3743,11/14/2018 12:34:24 AM,0.0000,,24.0429,1498.6368,13.1343,0.6131,0.4215,0.4215
